# File: s_info.txt

# N:class_num
# W:Weapon_type:efficiency (0, 2-7)
# M:misc_num:efficiency (0, 2-7)
# S:REALM:efficiency (0-20)

### Soldier ###
N:0
# Éð´ïµ»Ç½¥ì¥Ù¥ë
S:11:0 # MAGIC_CRUSADE





### Warlock ###
N:9
# Éð´ïµ»Ç½¥ì¥Ù¥ë
W:1:4	# WT_SMALL_SWORD
W:2:0	# WT_KATANA
W:3:4	# WT_SWORD
W:4:0	# WT_GREAT_SWORD
W:5:0	# WT_AXE
W:6:0	# WT_SPEAR
W:7:0	# WT_LANCE
W:8:0	# WT_CLAW
W:9:0	# WT_SCYTHE
W:10:4	# WT_WHIP
W:11:0	# WT_HAMMER
W:12:4	# WT_STAFF
W:13:0	# WT_FAN
W:14:0	# WT_BOW
W:15:0	# WT_GUN
# Misc.
M:0:0 # MARTIAL_ARTS
M:1:0 # NITOURYU
M:2:0 # RIDING
M:3:0 # THROWING
M:4:6 # PET_UPKEEP
M:5:6 # SENSE_ARMS
M:6:10 # SENSE_ACC
M:7:0 # SPELL_CAST
# Magic
S:1:5 # MAGIC_MAGERY
S:2:0 # MAGIC_FIRE
S:3:0 # MAGIC_AQUA
S:4:0 # MAGIC_EARTH
S:5:0 # MAGIC_WIND
S:6:0 # MAGIC_HOLY
S:7:0 # MAGIC_DEATH
S:8:0 # MAGIC_SYMBIOTIC
S:9:8 # MAGIC_WITCH
S:10:16 # MAGIC_DRAKONITE
S:11:0 # MAGIC_CRUSADE






### Exorcist ###
N:10
# Éð´ïµ»Ç½¥ì¥Ù¥ë
W:1:0	# WT_SMALL_SWORD
W:2:0	# WT_KATANA
W:3:0	# WT_SWORD
W:4:0	# WT_GREAT_SWORD
W:5:0	# WT_AXE
W:6:0	# WT_SPEAR
W:7:0	# WT_LANCE
W:8:0	# WT_CLAW
W:9:0	# WT_SCYTHE
W:10:6	# WT_WHIP
W:11:6	# WT_HAMMER
W:12:7	# WT_STAFF
W:13:0	# WT_FAN
W:14:0	# WT_BOW
W:15:0	# WT_GUN
# Misc.
M:0:0 # MARTIAL_ARTS
M:1:0 # NITOURYU
M:2:0 # RIDING
M:3:0 # THROWING
M:4:0 # PET_UPKEEP
M:5:4 # SENSE_ARMS
M:6:4 # SENSE_ACC
M:7:3 # SPELL_CAST
# Magic
S:1:0 # MAGIC_MAGERY
S:2:5 # MAGIC_FIRE
S:3:5 # MAGIC_AQUA
S:4:5 # MAGIC_EARTH
S:5:5 # MAGIC_WIND
S:6:0 # MAGIC_HOLY
S:7:0 # MAGIC_DEATH
S:8:0 # MAGIC_SYMBIOTIC
S:9:0 # MAGIC_WITCH
S:10:0 # MAGIC_DRAKONITE
S:11:13 # MAGIC_CRUSADE





### Amazoness ###
N:11
# Éð´ïµ»Ç½¥ì¥Ù¥ë
W:1:5	# WT_SMALL_SWORD
W:2:5	# WT_KATANA
W:3:5	# WT_SWORD
W:4:5	# WT_GREAT_SWORD
W:5:5	# WT_AXE
W:6:5	# WT_SPEAR
W:7:5	# WT_LANCE
W:8:5	# WT_CLAW
W:9:5	# WT_SCYTHE
W:10:2	# WT_WHIP
W:11:5	# WT_HAMMER
W:12:0	# WT_STAFF
W:13:0	# WT_FAN
W:14:4	# WT_BOW
W:15:3	# WT_GUN
# Misc.
M:0:0 # MARTIAL_ARTS
M:1:3 # NITOURYU
M:2:0 # RIDING
M:3:3 # THROWING
M:4:3 # PET_UPKEEP
M:5:4 # SENSE_ARMS
M:6:3 # SENSE_ACC
M:7:0 # SPELL_CAST
# Magic
S:1:0 # MAGIC_MAGERY
S:2:0 # MAGIC_FIRE
S:3:0 # MAGIC_AQUA
S:4:0 # MAGIC_EARTH
S:5:0 # MAGIC_WIND
S:6:0 # MAGIC_HOLY
S:7:0 # MAGIC_DEATH
S:8:0 # MAGIC_SYMBIOTIC
S:9:0 # MAGIC_WITCH
S:10:0 # MAGIC_DRAKONITE
S:11:0 # MAGIC_CRUSADE






### Valkyrie ###
N:12
# Éð´ïµ»Ç½¥ì¥Ù¥ë
W:1:4	# WT_SMALL_SWORD
W:2:0	# WT_KATANA
W:3:5	# WT_SWORD
W:4:3	# WT_GREAT_SWORD
W:5:0	# WT_AXE
W:6:7	# WT_SPEAR
W:7:3	# WT_LANCE
W:8:0	# WT_CLAW
W:9:0	# WT_SCYTHE
W:10:3	# WT_WHIP
W:11:0	# WT_HAMMER
W:12:0	# WT_STAFF
W:13:0	# WT_FAN
W:14:5	# WT_BOW
W:15:0	# WT_GUN
# Misc.
M:0:0 # MARTIAL_ARTS
M:1:0 # NITOURYU
M:2:5 # RIDING
M:3:3 # THROWING
M:4:0 # PET_UPKEEP
M:5:5 # SENSE_ARMS
M:6:2 # SENSE_ACC
M:7:2 # SPELL_CAST
# Magic
S:1:0 # MAGIC_MAGERY
S:2:8 # MAGIC_FIRE
S:3:8 # MAGIC_AQUA
S:4:8 # MAGIC_EARTH
S:5:8 # MAGIC_WIND
S:6:0 # MAGIC_HOLY
S:7:0 # MAGIC_DEATH
S:8:0 # MAGIC_SYMBIOTIC
S:9:0 # MAGIC_WITCH
S:10:0 # MAGIC_DRAKONITE
S:11:0 # MAGIC_CRUSADE





### Archer ###
N:13
# Éð´ïµ»Ç½¥ì¥Ù¥ë
W:1:5	# WT_SMALL_SWORD
W:2:0	# WT_KATANA
W:3:0	# WT_SWORD
W:4:0	# WT_GREAT_SWORD
W:5:0	# WT_AXE
W:6:0	# WT_SPEAR
W:7:0	# WT_LANCE
W:8:5	# WT_CLAW
W:9:0	# WT_SCYTHE
W:10:0	# WT_WHIP
W:11:0	# WT_HAMMER
W:12:0	# WT_STAFF
W:13:0	# WT_FAN
W:14:10	# WT_BOW
W:15:0	# WT_GUN
# Misc.
M:0:0 # MARTIAL_ARTS
M:1:0 # NITOURYU
M:2:0 # RIDING
M:3:0 # THROWING
M:4:0 # PET_UPKEEP
M:5:7 # SENSE_ARMS
M:6:0 # SENSE_ACC
M:7:0 # SPELL_CAST
# Magic
S:1:0 # MAGIC_MAGERY
S:2:0 # MAGIC_FIRE
S:3:0 # MAGIC_AQUA
S:4:0 # MAGIC_EARTH
S:5:0 # MAGIC_WIND
S:6:0 # MAGIC_HOLY
S:7:0 # MAGIC_DEATH
S:8:0 # MAGIC_SYMBIOTIC
S:9:0 # MAGIC_WITCH
S:10:0 # MAGIC_DRAKONITE
S:11:0 # MAGIC_CRUSADE





### DragonTamer ###
N:14
# Éð´ïµ»Ç½¥ì¥Ù¥ë
W:1:5	# WT_SMALL_SWORD
W:2:0	# WT_KATANA
W:3:4	# WT_SWORD
W:4:0	# WT_GREAT_SWORD
W:5:4	# WT_AXE
W:6:5	# WT_SPEAR
W:7:7	# WT_LANCE
W:8:0	# WT_CLAW
W:9:7	# WT_SCYTHE
W:10:3	# WT_WHIP
W:11:2	# WT_HAMMER
W:12:0	# WT_STAFF
W:13:0	# WT_FAN
W:14:4	# WT_BOW
W:15:0	# WT_GUN
# Misc.
M:0:0 # MARTIAL_ARTS
M:1:0 # NITOURYU
M:2:10 # RIDING
M:3:0 # THROWING
M:4:7 # PET_UPKEEP
M:5:3 # SENSE_ARMS
M:6:3 # SENSE_ACC
M:7:0 # SPELL_CAST
# Magic
S:1:0 # MAGIC_MAGERY
S:2:0 # MAGIC_FIRE
S:3:0 # MAGIC_AQUA
S:4:0 # MAGIC_EARTH
S:5:0 # MAGIC_WIND
S:6:0 # MAGIC_HOLY
S:7:0 # MAGIC_DEATH
S:8:13 # MAGIC_SYMBIOTIC
S:9:0 # MAGIC_WITCH
S:10:0 # MAGIC_DRAKONITE
S:11:0 # MAGIC_CRUSADE





### Witch ###
N:15
# Éð´ïµ»Ç½¥ì¥Ù¥ë
W:1:5	# WT_SMALL_SWORD
W:2:0	# WT_KATANA
W:3:0	# WT_SWORD
W:4:0	# WT_GREAT_SWORD
W:5:0	# WT_AXE
W:6:0	# WT_SPEAR
W:7:0	# WT_LANCE
W:8:0	# WT_CLAW
W:9:0	# WT_SCYTHE
W:10:7	# WT_WHIP
W:11:0	# WT_HAMMER
W:12:7	# WT_STAFF
W:13:5	# WT_FAN
W:14:5	# WT_BOW
W:15:3	# WT_GUN
# Misc.
M:0:0 # MARTIAL_ARTS
M:1:0 # NITOURYU
M:2:3 # RIDING
M:3:0 # THROWING
M:4:6 # PET_UPKEEP
M:5:0 # SENSE_ARMS
M:6:10 # SENSE_ACC
M:7:6 # SPELL_CAST
# Magic
S:1:8 # MAGIC_MAGERY
S:2:0 # MAGIC_FIRE
S:3:0 # MAGIC_AQUA
S:4:0 # MAGIC_EARTH
S:5:0 # MAGIC_WIND
S:6:0 # MAGIC_HOLY
S:7:9 # MAGIC_DEATH
S:8:0 # MAGIC_SYMBIOTIC
S:9:13 # MAGIC_WITCH
S:10:0 # MAGIC_DRAKONITE
S:11:0 # MAGIC_CRUSADE





### Sirene ###
N:16
# Éð´ïµ»Ç½¥ì¥Ù¥ë
W:1:3	# WT_SMALL_SWORD
W:2:0	# WT_KATANA
W:3:0	# WT_SWORD
W:4:0	# WT_GREAT_SWORD
W:5:0	# WT_AXE
W:6:0	# WT_SPEAR
W:7:0	# WT_LANCE
W:8:0	# WT_CLAW
W:9:0	# WT_SCYTHE
W:10:0	# WT_WHIP
W:11:0	# WT_HAMMER
W:12:10	# WT_STAFF
W:13:10	# WT_FAN
W:14:0	# WT_BOW
W:15:0	# WT_GUN
# Misc.
M:0:0 # MARTIAL_ARTS
M:1:0 # NITOURYU
M:2:0 # RIDING
M:3:0 # THROWING
M:4:5 # PET_UPKEEP
M:5:0 # SENSE_ARMS
M:6:7 # SENSE_ACC
M:7:10 # SPELL_CAST
# Magic
S:1:13 # MAGIC_MAGERY
S:2:13 # MAGIC_FIRE
S:3:13 # MAGIC_AQUA
S:4:13 # MAGIC_EARTH
S:5:13 # MAGIC_WIND
S:6:0 # MAGIC_HOLY
S:7:0 # MAGIC_DEATH
S:8:0 # MAGIC_SYMBIOTIC
S:9:0 # MAGIC_WITCH
S:10:0 # MAGIC_DRAKONITE
S:11:0 # MAGIC_CRUSADE





### Cleric ###
N:17
# Éð´ïµ»Ç½¥ì¥Ù¥ë
W:1:0	# WT_SMALL_SWORD
W:2:0	# WT_KATANA
W:3:0	# WT_SWORD
W:4:0	# WT_GREAT_SWORD
W:5:0	# WT_AXE
W:6:0	# WT_SPEAR
W:7:0	# WT_LANCE
W:8:0	# WT_CLAW
W:9:0	# WT_SCYTHE
W:10:3	# WT_WHIP
W:11:6	# WT_HAMMER
W:12:6	# WT_STAFF
W:13:0	# WT_FAN
W:14:0	# WT_BOW
W:15:0	# WT_GUN
# Misc.
M:0:0 # MARTIAL_ARTS
M:1:0 # NITOURYU
M:2:0 # RIDING
M:3:0 # THROWING
M:4:0 # PET_UPKEEP
M:5:5 # SENSE_ARMS
M:6:5 # SENSE_ACC
M:7:5 # SPELL_CAST
# Magic
S:1:0 # MAGIC_MAGERY
S:2:5 # MAGIC_FIRE
S:3:5 # MAGIC_AQUA
S:4:5 # MAGIC_EARTH
S:5:5 # MAGIC_WIND
S:6:16 # MAGIC_HOLY
S:7:0 # MAGIC_DEATH
S:8:0 # MAGIC_SYMBIOTIC
S:9:0 # MAGIC_WITCH
S:10:0 # MAGIC_DRAKONITE
S:11:0 # MAGIC_CRUSADE





### Priest ###
N:18
# Éð´ïµ»Ç½¥ì¥Ù¥ë
W:1:0	# WT_SMALL_SWORD
W:2:0	# WT_KATANA
W:3:0	# WT_SWORD
W:4:0	# WT_GREAT_SWORD
W:5:0	# WT_AXE
W:6:0	# WT_SPEAR
W:7:0	# WT_LANCE
W:8:0	# WT_CLAW
W:9:0	# WT_SCYTHE
W:10:0	# WT_WHIP
W:11:5	# WT_HAMMER
W:12:6	# WT_STAFF
W:13:0	# WT_FAN
W:14:0	# WT_BOW
W:15:0	# WT_GUN
# Misc.
M:0:0 # MARTIAL_ARTS
M:1:0 # NITOURYU
M:2:0 # RIDING
M:3:0 # THROWING
M:4:0 # PET_UPKEEP
M:5:5 # SENSE_ARMS
M:6:5 # SENSE_ACC
M:7:6 # SPELL_CAST
# Magic
S:1:0 # MAGIC_MAGERY
S:2:5 # MAGIC_FIRE
S:3:5 # MAGIC_AQUA
S:4:5 # MAGIC_EARTH
S:5:5 # MAGIC_WIND
S:6:10 # MAGIC_HOLY
S:7:0 # MAGIC_DEATH
S:8:0 # MAGIC_SYMBIOTIC
S:9:0 # MAGIC_WITCH
S:10:0 # MAGIC_DRAKONITE
S:11:10 # MAGIC_CRUSADE





### Lich ###
N:19
# Éð´ïµ»Ç½¥ì¥Ù¥ë
W:1:3	# WT_SMALL_SWORD
W:2:0	# WT_KATANA
W:3:3	# WT_SWORD
W:4:0	# WT_GREAT_SWORD
W:5:0	# WT_AXE
W:6:0	# WT_SPEAR
W:7:0	# WT_LANCE
W:8:0	# WT_CLAW
W:9:10	# WT_SCYTHE
W:10:0	# WT_WHIP
W:11:0	# WT_HAMMER
W:12:10	# WT_STAFF
W:13:0	# WT_FAN
W:14:0	# WT_BOW
W:15:0	# WT_GUN
# Misc.
M:0:0 # MARTIAL_ARTS
M:1:0 # NITOURYU
M:2:0 # RIDING
M:3:0 # THROWING
M:4:5 # PET_UPKEEP
M:5:4 # SENSE_ARMS
M:6:8 # SENSE_ACC
M:7:10 # SPELL_CAST
# Magic
S:1:10 # MAGIC_MAGERY
S:2:10 # MAGIC_FIRE
S:3:10 # MAGIC_AQUA
S:4:10 # MAGIC_EARTH
S:5:10 # MAGIC_WIND
S:6:0 # MAGIC_HOLY
S:7:20 # MAGIC_DEATH
S:8:0 # MAGIC_SYMBIOTIC
S:9:10 # MAGIC_WITCH
S:10:0 # MAGIC_DRAKONITE
S:11:0 # MAGIC_CRUSADE





### Angel-Knight ###
N:20
# Éð´ïµ»Ç½¥ì¥Ù¥ë
W:1:7	# WT_SMALL_SWORD
W:2:6	# WT_KATANA
W:3:10	# WT_SWORD
W:4:3	# WT_GREAT_SWORD
W:5:0	# WT_AXE
W:6:7	# WT_SPEAR
W:7:0	# WT_LANCE
W:8:0	# WT_CLAW
W:9:0	# WT_SCYTHE
W:10:0	# WT_WHIP
W:11:0	# WT_HAMMER
W:12:0	# WT_STAFF
W:13:0	# WT_FAN
W:14:6	# WT_BOW
W:15:0	# WT_GUN
# Misc.
M:0:0 # MARTIAL_ARTS
M:1:7 # NITOURYU
M:2:0 # RIDING
M:3:0 # THROWING
M:4:0 # PET_UPKEEP
M:5:7 # SENSE_ARMS
M:6:7 # SENSE_ACC
M:7:6 # SPELL_CAST
# Magic
S:1:10 # MAGIC_MAGERY
S:2:10 # MAGIC_FIRE
S:3:10 # MAGIC_AQUA
S:4:10 # MAGIC_EARTH
S:5:10 # MAGIC_WIND
S:6:0 # MAGIC_HOLY
S:7:0 # MAGIC_DEATH
S:8:0 # MAGIC_SYMBIOTIC
S:9:0 # MAGIC_WITCH
S:10:0 # MAGIC_DRAKONITE
S:11:20 # MAGIC_CRUSADE





### High-Witch ###
N:21
# Éð´ïµ»Ç½¥ì¥Ù¥ë
W:1:2	# WT_SMALL_SWORD
W:2:0	# WT_KATANA
W:3:0	# WT_SWORD
W:4:0	# WT_GREAT_SWORD
W:5:0	# WT_AXE
W:6:0	# WT_SPEAR
W:7:0	# WT_LANCE
W:8:0	# WT_CLAW
W:9:0	# WT_SCYTHE
W:10:10	# WT_WHIP
W:11:0	# WT_HAMMER
W:12:10	# WT_STAFF
W:13:10	# WT_FAN
W:14:0	# WT_BOW
W:15:0	# WT_GUN
# Misc.
M:0:0 # MARTIAL_ARTS
M:1:0 # NITOURYU
M:2:0 # RIDING
M:3:0 # THROWING
M:4:10 # PET_UPKEEP
M:5:0 # SENSE_ARMS
M:6:10 # SENSE_ACC
M:7:10 # SPELL_CAST
# Magic
S:1:10 # MAGIC_MAGERY
S:2:10 # MAGIC_FIRE
S:3:10 # MAGIC_AQUA
S:4:10 # MAGIC_EARTH
S:5:10 # MAGIC_WIND
S:6:10 # MAGIC_HOLY
S:7:10 # MAGIC_DEATH
S:8:10 # MAGIC_SYMBIOTIC
S:9:16 # MAGIC_WITCH
S:10:10 # MAGIC_DRAKONITE
S:11:10 # MAGIC_CRUSADE





### Gunner ###
N:22
# Éð´ïµ»Ç½¥ì¥Ù¥ë
W:1:3	# WT_SMALL_SWORD
W:2:0	# WT_KATANA
W:3:0	# WT_SWORD
